"region","order_date","net_revenue","orders_cnt","avg_check"
"Europe","2022-01-13","936.72","1","936.72"
"Europe","2022-02-10","69.58","1","69.58"
"Europe","2022-02-12","672.68","1","672.68"
"Europe","2022-03-08","222.3","1","222.3"
"Europe","2022-03-20","83.91","2","41.95"
"Europe","2022-03-21","162.02","1","162.02"
"Europe","2022-03-22","163.7","1","163.7"
"Europe","2022-03-24","657.93","1","657.93"
"Europe","2022-03-25","237.15","1","237.15"
"Europe","2022-04-05","479.79","3","159.93"
"Europe","2022-04-09","35.31","1","35.31"
"Europe","2022-04-23","115.44","1","115.44"
"Europe","2022-05-02","51.78","1","51.78"
"Europe","2022-05-04","145.34","1","145.34"
"Europe","2022-05-08","743.31","1","743.31"
"Europe","2022-05-20","740.3","3","246.77"
"Europe","2022-05-21","1338.38","1","1338.38"
"Europe","2022-05-25","392.3","1","392.3"
"Europe","2022-05-26","711.01","1","711.01"
"Europe","2022-05-28","564.52","3","188.17"
"Europe","2022-06-01","183.16","1","183.16"
"Europe","2022-06-03","106.54","1","106.54"
"Europe","2022-06-08","175.75","1","175.75"
"Europe","2022-06-10","134.91","1","134.91"
"Europe","2022-06-14","812.67","2","406.34"
"Europe","2022-06-15","92.52","1","92.52"
"Europe","2022-06-16","936.12","1","936.12"
"Europe","2022-06-17","265.19","2","132.59"
"Europe","2022-06-19","145.5","1","145.5"
"Europe","2022-06-20","150.59","1","150.59"
"Europe","2022-06-24","193.04","1","193.04"
"Europe","2022-06-25","34.64","1","34.64"
"Europe","2022-07-01","556.79","2","278.39"
"Europe","2022-07-02","60.82","1","60.82"
"Europe","2022-07-05","414.03","1","414.03"
"Europe","2022-07-06","269.89","3","89.96"
"Europe","2022-07-07","1746.11","2","873.06"
"Europe","2022-07-08","212.48","2","106.24"
"Europe","2022-07-09","658.68","4","164.67"
"Europe","2022-07-12","592.22","2","296.11"
"Europe","2022-07-13","114.64","1","114.64"
"Europe","2022-07-14","24.99","1","24.99"
"Europe","2022-07-15","86.97","1","86.97"
"Europe","2022-07-16","391.71","3","130.57"
"Europe","2022-07-20","114.15","1","114.15"
"Europe","2022-07-22","89.89","1","89.89"
"Europe","2022-07-23","576.32","1","576.32"
"Europe","2022-07-25","58.62","1","58.62"
"Europe","2022-07-31","117.42","1","117.42"
"Europe","2022-08-01","147.35","2","73.67"
"Europe","2022-08-04","172.96","2","86.48"
"Europe","2022-08-05","507.52","1","507.52"
"Europe","2022-08-06","34.12","1","34.12"
"Europe","2022-08-07","602.42","1","602.42"
"Europe","2022-08-08","163.97","2","81.98"
"Europe","2022-08-10","955.6","3","318.53"
"Europe","2022-08-11","700.29","2","350.14"
"Europe","2022-08-12","185.14","1","185.14"
"Europe","2022-08-13","170.74","3","56.91"
"Europe","2022-08-15","108.24","2","54.12"
"Europe","2022-08-16","26.25","1","26.25"
"Europe","2022-08-18","73.3","1","73.3"
"Europe","2022-08-19","91.85","1","91.85"
"Europe","2022-08-21","1748.49","3","582.83"
"Europe","2022-08-22","305.78","1","305.78"
"Europe","2022-08-23","226.22","1","226.22"
"Europe","2022-08-25","14.82","1","14.82"
"Europe","2022-08-26","73.96","1","73.96"
"Europe","2022-08-28","313.73","1","313.73"
"Europe","2022-08-30","63.37","1","63.37"
"Europe","2022-09-01","61.91","1","61.91"
"Europe","2022-09-04","498.58","1","498.58"
"Europe","2022-09-05","221.03","2","110.51"
"Europe","2022-09-07","90.24","1","90.24"
"Europe","2022-09-09","58.86","1","58.86"
"Europe","2022-09-10","145.85","1","145.85"
"Europe","2022-09-12","106.06","1","106.06"
"Europe","2022-09-13","80.79","1","80.79"
"Europe","2022-09-14","17.26","1","17.26"
"Europe","2022-09-15","14.71","1","14.71"
"Europe","2022-09-16","520.51","2","260.25"
"Europe","2022-09-17","106.05","1","106.05"
"Europe","2022-09-18","55.52","1","55.52"
"Europe","2022-09-19","504.23","1","504.23"
"Europe","2022-09-20","25.52","1","25.52"
"Europe","2022-09-22","1542.67","2","771.33"
"Europe","2022-09-24","266.99","2","133.5"
"Europe","2022-09-26","802.66","1","802.66"
"Europe","2022-09-27","148.42","1","148.42"
"Europe","2022-09-28","450.2","3","150.07"
"Europe","2022-10-01","190.82","2","95.41"
"Europe","2022-10-02","398.01","3","132.67"
"Europe","2022-10-03","169.53","1","169.53"
"Europe","2022-10-04","129.1","1","129.1"
"Europe","2022-10-06","242.26","2","121.13"
"Europe","2022-10-08","107.1","1","107.1"
"Europe","2022-10-09","76.61","1","76.61"
"Europe","2022-10-10","179.7","1","179.7"
"Europe","2022-10-11","584.25","2","292.13"
"Europe","2022-10-12","327.89","1","327.89"
"Europe","2022-10-13","224.46","1","224.46"
"Europe","2022-10-14","829.31","2","414.65"
"Europe","2022-10-15","87.38","2","43.69"
"Europe","2022-10-16","615.05","2","307.52"
"Europe","2022-10-17","1162.58","2","581.29"
"Europe","2022-10-18","149.65","1","149.65"
"Europe","2022-10-19","585.66","3","195.22"
"Europe","2022-10-20","48.56","1","48.56"
"Europe","2022-10-22","54.97","1","54.97"
"Europe","2022-10-23","660.85","2","330.43"
"Europe","2022-10-24","90.37","2","45.19"
