"customer_id","region","acq_channel","customer_revenue","orders_cnt"
"12348","Europe","Influencer","29594.05","40"
"11131","Europe","Influencer","20852.14","38"
"11387","Southeast Asia","Influencer","18211.83","33"
"10837","North America","Influencer","17158.75","26"
"12723","North America","Referral","17115.8","37"
"10995","Europe","Influencer","15831.52","28"
"11302","Europe","Influencer","15695.02","27"
"11046","Europe","Organic","14567.58","31"
"12478","North America","Referral","14064.47","28"
"11835","Southeast Asia","Referral","13694.81","25"
"11493","Southeast Asia","Organic","13620.27","19"
"12978","Southeast Asia","Organic","13593.5","22"
"12057","Southeast Asia","Influencer","13312.79","25"
"10414","North America","Influencer","13305.46","21"
"12251","Southeast Asia","Influencer","12958","30"
"12965","Europe","Email","12540.64","27"
"10548","Europe","Social Ads","12398.71","13"
"12462","North America","Organic","12274.75","23"
"11222","Southeast Asia","Referral","12240.56","26"
"12562","Southeast Asia","Influencer","12158.28","18"
"10359","North America","Referral","11527.61","22"
"12295","Southeast Asia","Organic","11362.51","16"
"11464","Europe","Paid Search","11300.52","12"
"11717","Europe","Email","11067.72","21"
"11370","Southeast Asia","Influencer","10959.56","21"
"12590","North America","Influencer","10943.71","15"
"11839","Middle East","Referral","10821.13","17"
"11069","Europe","Paid Search","10732.42","14"
"10286","North America","Paid Search","10727.87","20"
"12692","North America","Organic","10694.19","17"
"11247","Europe","Influencer","10423.6","17"
"12414","Southeast Asia","Organic","9818.82","16"
"12991","Southeast Asia","Referral","9621.2","21"
"10146","North America","Organic","9289.23","21"
"12776","North America","Influencer","9229.9","20"
"12437","Europe","Organic","9059.1","19"
"11637","Latin America","Referral","9040.39","16"
"11497","North America","Organic","8933.17","24"
"10539","Middle East","Email","8900.59","16"
"10220","Southeast Asia","Organic","8715.25","14"
"11909","Southeast Asia","Social Ads","8527.13","17"
"11599","Europe","Referral","8468.11","17"
"11552","Southeast Asia","Email","8300.06","13"
"10370","Southeast Asia","Organic","8268.54","17"
"10179","Southeast Asia","Influencer","7954.32","7"
"12940","Southeast Asia","Influencer","7880.26","15"
"12766","Middle East","Organic","7823.12","17"
"12707","North America","Influencer","7576.81","11"
"12425","Middle East","Organic","7469.58","13"
"10801","Europe","Referral","7329.24","19"
"10632","North America","Social Ads","7287.18","13"
"12629","North America","Social Ads","7233.52","12"
"11098","Southeast Asia","Organic","7174.72","13"
"10333","Middle East","Referral","7165.83","17"
"11298","Southeast Asia","Referral","7017.96","11"
"12463","North America","Organic","6976.2","17"
"10291","North America","Social Ads","6972.48","10"
"12701","North America","Organic","6884.6","15"
"11954","Latin America","Social Ads","6883.84","13"
"10530","Europe","Social Ads","6704.31","15"
"12626","Europe","Email","6535.71","11"
"10699","Europe","Email","6478.57","13"
"11468","Southeast Asia","Organic","6160.09","20"
"12029","Europe","Social Ads","6102.15","11"
"12646","North America","Email","6097.03","11"
"10814","Southeast Asia","Paid Search","6036.56","14"
"10977","Middle East","Paid Search","5996.13","9"
"10016","Europe","Organic","5975.99","17"
"10943","Southeast Asia","Social Ads","5930.17","11"
"10946","Southeast Asia","Paid Search","5921.69","9"
"11997","Europe","Social Ads","5827.75","7"
"11022","Europe","Paid Search","5585.63","12"
"12089","Europe","Paid Search","5530.24","7"
"10067","Europe","Referral","5492.36","11"
"12953","North America","Paid Search","5441.18","10"
"11756","North America","Social Ads","5376.26","12"
"10741","Southeast Asia","Organic","5268.72","10"
"11320","Southeast Asia","Referral","5245.17","11"
"11300","North America","Influencer","5224.94","12"
